Sequence,Character,Hex
"\--_",┙,U+2519,21
"\--_",┝,U+251D,22
"\--_",┿,U+253F,23
"\--_",┥,U+2525,24
"\--_",┎,U+250E,25
"\--_",┰,U+2530,26
"\--_",┒,U+2512,27
"\--_",┖,U+2516,28
"\--_",┸,U+2538,29
"\--_",┚,U+251A,30
"\--_",┠,U+2520,31
"\--_",╂,U+2542,32
"\--_",┨,U+2528,33
"\--_",┞,U+251E,34
"\--_",╀,U+2540,35
"\--_",┦,U+2526,36
"\--_",┟,U+251F,37
"\--_",╁,U+2541,38
"\--_",┧,U+2527,39
"\--_",┢,U+2522,40
"\--_",╈,U+2548,41
"\--_",┪,U+252A,42
"\--_",┡,U+2521,43
"\--_",╇,U+2547,44
"\--_",┩,U+2529,45
"\--_",┮,U+252E,46
"\--_",┭,U+252D,47
"\--_",┶,U+2536,48
"\--_",┵,U+2535,49
"\--_",┾,U+253E,50
"\--_",┽,U+253D,51
"\--_",┲,U+2532,52
"\--_",┱,U+2531,53
"\--_",┺,U+253A,54
"\--_",┹,U+2539,55
"\--_",╊,U+254A,56
"\--_",╉,U+2549,57
"\--_",╆,U+2546,58
"\--_",╅,U+2545,59
"\--_",╄,U+2544,60
"\--_",╃,U+2543,61
"\--_",╿,U+257F,62
"\--_",╽,U+257D,63
"\--_",╼,U+257C,64
"\--_",╾,U+257E,65
"\--.",╌,U+254C,1
"\--.",╎,U+254E,2
"\--.",┄,U+2504,3
"\--.",┆,U+2506,4
"\--.",┈,U+2508,5
"\--.",┊,U+250A,6
"\--.",╍,U+254D,7
"\--.",╏,U+254F,8
"\--.",┅,U+2505,9
"\--.",┇,U+2507,10
"\--.",┉,U+2509,11
"\--.",┋,U+250B,12
"\t",◂,U+25C2,1
"\t",◃,U+25C3,2
"\t",◄,U+25C4,3
"\t",◅,U+25C5,4
"\t",▸,U+25B8,5
"\t",▹,U+25B9,6
"\t",►,U+25BA,7
"\t",▻,U+25BB,8
"\t",▴,U+25B4,9
"\t",▵,U+25B5,10
"\t",▾,U+25BE,11
"\t",▿,U+25BF,12
"\t",◢,U+25E2,13
"\t",◿,U+25FF,14
"\t",◣,U+25E3,15
"\t",◺,U+25FA,16
"\t",◤,U+25E4,17
"\t",◸,U+25F8,18
"\t",◥,U+25E5,19
"\t",◹,U+25F9,20
"\T",◀,U+25C0,1
"\T",◁,U+25C1,2
"\T",▶,U+25B6,3
"\T",▷,U+25B7,4
"\T",▲,U+25B2,5
"\T",△,U+25B3,6
"\T",▼,U+25BC,7
"\T",▽,U+25BD,8
"\T",◬,U+25EC,9
"\T",◭,U+25ED,10
"\T",◮,U+25EE,11
"\tb",◂,U+25C2,1
"\tb",▸,U+25B8,2
"\tb",▴,U+25B4,3
"\tb",▾,U+25BE,4
"\tb",◄,U+25C4,5
"\tb",►,U+25BA,6
"\tb",◢,U+25E2,7
"\tb",◣,U+25E3,8
"\tb",◤,U+25E4,9
"\tb",◥,U+25E5,10
"\tw",◃,U+25C3,1
"\tw",▹,U+25B9,2
"\tw",▵,U+25B5,3
"\tw",▿,U+25BF,4
"\tw",◅,U+25C5,5
"\tw",▻,U+25BB,6
"\tw",◿,U+25FF,7
"\tw",◺,U+25FA,8
"\tw",◸,U+25F8,9
"\tw",◹,U+25F9,10
"\Tb",◀,U+25C0,1
"\Tb",▶,U+25B6,2
"\Tb",▲,U+25B2,3
"\Tb",▼,U+25BC,4
